Job_Title,Company,Location,Level,Job_Type,Max_Salary ,Min_Salary ,Salary_Range,Currency,Required_Skills,Benefits,Onsite_Remote
"Senior Data Scientist, Machine Learning - Game Analytics",Rockstar Games,"Manhattan, New York, United States",Senior-level,Full Time,135000,68000,USD 68000 - 135000,USD ,"Big Data, Classification, Computer Science, Data Mining, Data pipelines, Hadoop, Machine Learning,",Career development,Onsite
BI Analyst,Darrow,Tel Aviv,Senior-level,Full Time,#VALUE!,#VALUE!,Not Disclosed,Not ,"Business Intelligence, Data analysis, Data management, Machine Learning, SQL, Statistics","Career development, Startup environment",Onsite
Senior Data Analyst,DigitalOcean,United States and Canada,Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"Computer Science, Economics, Engineering, Excel, Finance, KPIs, Looker,","Competitive pay, Conferences, Equity, Health care, Insurance,",Onsite
Analytics Engineer,Swile,Remote,Senior-level,Full Time,#VALUE!,#VALUE!,Not Disclosed,Not ,"CICD, ETL, GitHub, Looker, Metabase, Snowflake, SQL",Startup environment,Remote
"Data Analyst, Strategic Partnerships( Bangkok based)",Agoda,Bangkok,Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"AB testing, Business Intelligence, Computer Science, Consulting, Data analysis, Data Analytics, Data Mining,","Career development, Startup environment",Onsite
Product Data Analytics Team Lead,Adyen,Amsterdam,Senior-level,Full Time,#VALUE!,#VALUE!,Not Disclosed,Not ,"Data Analytics, Data strategy, Data visualization, FinTech, Looker, Python, R,",Flex vacation,Onsite
"Senior Manager, Data Analytics",Metropolis,"Los Angeles, New York, or Seattle",Senior-level,Full Time,#VALUE!,#VALUE!,Not Disclosed,Not ,"Agile, Computer Vision, Data analysis, Data Analytics, EDA, Engineering, Finance,","Career development, Startup environment",Onsite
Product Data Analyst,PDFTron Systems Inc.,"Vancouver, British Columbia, Canada - Remote",Mid-level,Full Time,#VALUE!,#VALUE!,Not Disclosed,Not ,"AB testing, Amplitude, Data analysis, Data strategy, Excel, KPIs, Looker,","Career development, Competitive pay, Flex hours, Health care, Home office stipend,",Remote
People Data Analyst,Cabify,Madrid,Senior-level,Full Time,48000,35000,USD 35000 - 48000,USD ,"Business Analytics, Business Intelligence, Data management, Data Studio, Data visualization, Economics, Engineering,","Career development, Flex hours, Health care, Startup environment, Team events",Onsite
Senior Data Analyst,ClearScore,"Toronto, Ontario, Canada",Mid-level,Full Time,90000,51000,USD 51000 - 90000,USD ,"Credit risk, Economics, Finance, FinTech, Mathematics, SQL, Statistics","Career development, Flex hours, Flex vacation, Health care, Parental leave,",Onsite
"Senior Systems Engineering Analyst, Autonomous Vehicles and Driving Behavior",Cruise LLC,US Remote,Senior-level,Full Time,#VALUE!,#VALUE!,Not Disclosed,Not ,"Computer Science, Data analysis, Engineering, Jupyter, Looker, PhD, Physics,","Career development, Competitive pay, Equity, Fertility benefits, Flex hours,",Remote
Senior Data Analyst,"TechFlow, Inc","Arlington, Virginia, United States - Remote",Mid-level,Full Time,90000,51000,USD 51000 - 90000,USD ,"Agile, AWS, Data analysis, Data visualization, Engineering, Excel, QuickSight,","k matching, Career development, Equity, Health care, Insurance",Remote
Sr. Data Analyst - Sales Operations (GTM),Included Health,Remote,Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"Computer Science, Data Mining, Data visualization, Excel, Looker, Mathematics, SQL,",Startup environment,Remote
Senior Data Analyst,System1,"Seattle, WA",Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"APIs, AWS, Big Data, BigQuery, Business Analytics, Computer Science, Data analysis,","Career development, Health care, Salary bonus, Startup environment",Onsite
"Systems Engineering Analyst, Autonomous Vehicles and Driving Behavior",Cruise LLC,US Remote,Senior-level,Full Time,#VALUE!,#VALUE!,Not Disclosed,Not ,"Computer Science, Data analysis, Engineering, Jupyter, Looker, PhD, Physics,","Career development, Competitive pay, Equity, Fertility benefits, Flex hours,",Remote
"Data Scientist, Analytics - Trust & Safety",Twitch,Remote (United States),Senior-level,Full Time,198000,144000,USD 144000 - 198000,USD ,"Classification, Data analysis, Data visualization, Engineering, KPIs, Looker, Mathematics,","Fitness  gym, Flex hours, Flex vacation, Health care, Insurance,",Remote
Software Development Intern (Advanced Data Analytics) - Summer 2023,Bandwidth,"Raleigh, NC",Senior-level,Internship,#VALUE!,#VALUE!,Not Disclosed,Not ,"Ansible, Apache Flink, APIs, Data Analytics, Docker, Engineering, Kubernetes,","Career development, Team events",Onsite
Marketing Data Analyst,AppsFlyer,Herzliya,Senior-level,Full Time,#VALUE!,#VALUE!,Not Disclosed,Not ,"Computer Science, Economics, Excel, Industrial, KPIs, Looker, SQL,",Salary bonus,Onsite
Marketing Analytics & Data Science Senior Manager,Self Financial,"Austin, Remote",Senior-level,Full Time,#VALUE!,#VALUE!,Not Disclosed,Not ,"AB testing, Economics, Excel, Finance, FinTech, KPIs, SQL,","Equity, Fitness  gym, Flex hours, Flex vacation, Health care,",Remote
Data Analyst - Key Accounts (New York-based),Agoda,New York,Mid-level,Full Time,90000,51000,USD 51000 - 90000,USD ,"Business Analytics, Business Intelligence, Consulting, Data Analytics, Ecommerce, Engineering, Excel,","Career development, Relocation support",Onsite
Data Analyst,sennder,"Milan, Italy",Entry-level,Full Time,80000,30000,USD 30000 - 80000,USD ,"Business Analytics, Business Intelligence, Consulting, Data analysis, Data Studio, Data visualization, Finance,","Career development, Startup environment, Team events, Unlimited paid time off",Onsite
"Data Scientist, Analytics - Trust & Safety",Amazon.com,"San Francisco, California, USA",Senior-level,Full Time,198000,144000,USD 144000 - 198000,USD ,"Classification, Data analysis, Data visualization, Engineering, KPIs, Looker, Mathematics,","Fitness  gym, Flex hours, Flex vacation, Health care, Insurance,",Onsite
Data Analyst (stage),PayFit,Paris,Entry-level,Full Time,80000,30000,USD 30000 - 80000,USD ,"Data pipelines, Data Studio, Looker, Periscope, Pipelines, Python, SQL,","Team events, Yoga",Onsite
Senior Project Manager - Data & Analytics (NYC),3Cloud,Remote,Senior-level,Full Time,#VALUE!,#VALUE!,Not Disclosed,Not ,"Agile, Azure, Data strategy, DevOps, Jira, Kanban, Machine Learning,",Team events,Remote
Data Analyst,Zearn,"New York City, United States - Remote",Entry-level,Full Time,80000,30000,USD 30000 - 80000,USD ,"Computer Science, Data analysis, Looker, Nonprofit, Python, Redshift, Research,","Career development, Competitive pay, Health care, Insurance, Medical leave,",Remote
Senior Data Analytics Engineer,Checkout.com,London,Senior-level,Full Time,#VALUE!,#VALUE!,Not Disclosed,Not ,"Airflow, APIs, AWS, Azure, BigQuery, CICD, Data Analytics,","Career development, Conferences, Flex hours, Flex vacation, Startup environment,",Onsite
Data Analyst -  protected categories Law 68/99,sennder,"Milan, Italy",Entry-level,Full Time,80000,30000,USD 30000 - 80000,USD ,"Business Analytics, Business Intelligence, Consulting, Data analysis, Data Studio, Data visualization, Finance,","Career development, Startup environment, Team events, Unlimited paid time off",Onsite
Senior Data Analyst,Pure Storage,"Mountain View, CA",Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"Data analysis, EDA, Python, R, RD, Research, SQL,","Career development, Flex hours, Flex vacation, Team events",Onsite
Senior Marketing Data Analyst,Hotel Engine,Remote,Senior-level,Full Time,110000,85000,USD 85000 - 110000,USD ,"Economics, Engineering, KPIs, Looker, Research, SQL, Statistics,","k matching, Competitive pay, Equity, Health care, Medical leave,",Remote
Finance Product Data Analyst,Wise,Tallinn,Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"Agile, Airflow, Data analysis, Data pipelines, Engineering, Finance, FinTech,","Career development, Flex vacation, Startup environment",Onsite
Lead Data Analyst (Marketing),Motorway,"London, England, United Kingdom",Mid-level,Full Time,90000,51000,USD 51000 - 90000,USD ,"BigQuery, Data Studio, Jupyter, Looker, SQL","Career development, Competitive pay, Health care, Insurance, Parental leave,",Onsite
"Risk Data Analyst, Fraud",Bluevine,"Tel Aviv-Yafo, Tel Aviv District, Israel",Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"Banking, Economics, Engineering, Excel, Pandas, Python, R,","k matching, Career development, Equity, Fitness  gym, Flex vacation,",Onsite
"Senior Data Analyst, Partner Development - (Statistics/ML/BI) (Bangkok-based, relocation provided)",Agoda,Bangkok,Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"Business Intelligence, Computer Science, Data analysis, Data Analytics, Data Mining, Data visualization, Economics,","Career development, Team events",Onsite
Senior Data Analyst,Adaptavist,Remote (UK),Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"Data visualization, Engineering, Excel, Snowflake, SQL, Statistics, Tableau,",Flex hours,Remote
Associate Data Analyst- Customer Experience Group | Bangkok-based,Agoda,Bangkok,Mid-level,Full Time,90000,51000,USD 51000 - 90000,USD ,"Business Intelligence, Consulting, Data analysis, Data Analytics, Data Mining, Data visualization, Engineering,","Career development, Insurance, Relocation support, Salary bonus",Onsite
Analytics Engineer,DispatchHealth,Remote U.S.,Senior-level,Full Time,130000,110000,USD 110000 - 130000,USD ,"Data Analytics, Engineering, Looker, Python, Redshift, SQL, Testing","Career development, Competitive pay, Equity, Flex vacation, Health care,",Remote
Associate Data Analyst,Proxymity,"London, England, United Kingdom",Mid-level,Full Time,90000,51000,USD 51000 - 90000,USD ,"AWS, CICD, Engineering, ETL, FinTech, Machine Learning, Power BI,","Career development, Competitive pay, Health care, Startup environment, Yoga",Onsite
"Data Analyst, Go-to-Market",MURAL,Remote (US),Senior-level,Full Time,167000,99000,USD 99000 - 167000,USD ,"Airflow, Consulting, Data Analytics, Databricks, Data visualization, Engineering, Finance,","k matching, Career development, Competitive pay, Equity, Fertility benefits,",Remote
Senior Data Analyst FT Group Products - FT Specialist Titles,Financial Times,Sofia,Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"Computer Science, Economics, Mathematics, SQL, Statistics, UX","Startup environment, Team events",Onsite
Data Analyst - FT Group Products - FT Specialist Titles,Financial Times,Sofia,Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"Computer Science, Economics, Mathematics, SQL, Statistics","Startup environment, Team events",Onsite
"Senior Data Analyst, APAC Marketplace",Hopper,Remote-APAC,Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"Amplitude, BigQuery, Business Intelligence, Computer Science, Data analysis, Data Analytics, Data Mining,","Career development, Competitive pay, Equity, Gear, Health care,",Remote
Data Analytics Instructor & Coach (Remote Opportunity),Multiverse,"New York City, United States - Remote",Mid-level,Full Time,#VALUE!,#VALUE!,Not Disclosed,Not ,"Big Data, Data Analytics, Excel, PhD, Python, R, SQL,","k matching, Career development, Equity, Fertility benefits, Gear,",Remote
Data Analyst,Teads,Montpellier or Paris,Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"BigQuery, Business Intelligence, Data Warehousing, Engineering, Looker, Mathematics, Power BI,","Career development, Relocation support",Onsite
"Data Analyst, Internal Assurance",ATB Financial,"Edmonton, Alberta, Canada",Mid-level,Full Time,90000,51000,USD 51000 - 90000,USD ,"Banking, Big Data, Computer Science, Data Analytics, Data management, Data Mining, Economics,","Career development, Startup environment, Wellness",Onsite
"Data Analyst Product Insights (f/m/d) - GER, UK, NL, PL",DeepL,Remote job,Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"Agile, Machine Learning, Predictive modeling, Python, SQL, Statistics, Testing",Career development,Remote
Lead Product Data Analyst,Hotel Engine,Remote,Senior-level,Full Time,170000,100000,USD 100000 - 170000,USD ,"AB testing, Amplitude, Data Analytics, Ecommerce, Econometrics, Economics, Engineering,","k matching, Competitive pay, Equity, Health care, Medical leave,",Remote
"Data Scientist, AWS Product Analytics",Amazon.com,"Seattle, Washington, USA",Senior-level,Full Time,135000,68000,USD 68000 - 135000,USD ,"AWS, Business Analytics, Business Intelligence, Causal inference, Classification, Computer Science, Consulting,","Career development, Conferences, Startup environment",Onsite
"Data Analyst, Partner Development - (Statistics/ML/BI) (Bangkok-based, relocation provided)",Agoda,Bangkok,Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"Computer Science, Data analysis, Data Mining, Data visualization, Economics, Machine Learning, Mathematics,",Team events,Onsite
Data Analyst - Customer Hub,Qualtrics,"Chicago, Illinois, United States",Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"Data analysis, Data pipelines, Engineering, Open Source, Pipelines, SQL",Home office stipend,Onsite
Associate Analytics Engineer,ezCater,"Boston, MA",Mid-level,Full Time,108000,85000,USD 85000 - 108000,USD ,"Azure, BigQuery, Data Warehousing, Docker, Engineering, Kubernetes, Redshift,","k matching, Equity, Flex hours, Flex vacation, Health care,",Onsite
Data Analyst - Wanna,Farfetch,PT Porto,Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"AB testing, Big Data, Computer Science, Computer Vision, Consulting, Data visualization, Deep Learning,","Career development, Flex hours, Health care, Insurance",Onsite
"Data Analyst (Statistics/Python/BI) (Bangkok-based, relocation provided)",Agoda,Bangkok,Mid-level,Full Time,90000,51000,USD 51000 - 90000,USD ,"Business Intelligence, Data analysis, Data Analytics, Data Mining, Data visualization, Excel, Finance,",Career development,Onsite
Senior Project Manager - Data & Analytics,3Cloud,Remote,Senior-level,Full Time,#VALUE!,#VALUE!,Not Disclosed,Not ,"Agile, Azure, Data strategy, DevOps, Jira, Kanban, Machine Learning,","Team events, Travel",Remote
Senior Data Analyst,Legl,"London, England, United Kingdom - Remote",Mid-level,Full Time,90000,51000,USD 51000 - 90000,USD ,"Agile, Business Intelligence, Data analysis, Excel, Metabase, SQL","Career development, Competitive pay, Equity, Home office stipend, Startup environment,",Remote
Group Data Analyst,Artsy,New York City,Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"AWS, Business Analytics, Causal inference, Data Analytics, Data pipelines, ETL, KPIs,","Career development, Competitive pay, Equity, Flex hours, Flex vacation,",Onsite
Salesforce Business/Data Analyst,Constant Contact,"Remote, US",Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"Computer Science, Data Mining, Looker, Snowflake, SQL, Statistics, Tableau","Career development, Competitive pay, Flex vacation, Health care",Remote
Senior Data Analyst,TripAdvisor,"Sydney, Australia",Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"Consulting, Data analysis, Data strategy, Economics, Engineering, Excel, KPIs,","Career development, Flex vacation, Startup environment",Onsite
"Data Engineer II, Analytics","Vimeo, Inc.",New York City,Senior-level,Full Time,150000,76000,USD 76000 - 150000,USD ,"Airflow, Business Intelligence, Computer Science, Data analysis, Data management, Engineering, ETL,","Career development, Salary bonus",Onsite
BI Data Analyst,Dialpad,Denver,Senior-level,Full Time,100000,36000,USD 36000 - 100000,USD ,"Business Intelligence, Data analysis, Engineering, Looker, Power BI, Research, SQL",Startup environment,Onsite
Senior Analytics Engineer,Hotel Engine,Remote,Senior-level,Full Time,170000,130000,USD 130000 - 170000,USD ,"Airflow, Computer Science, Data pipelines, Engineering, Looker, Pipelines, Python,","k matching, Competitive pay, Equity, Health care, Medical leave,",Remote
Data Analyst - (Remote - US),Mediavine,"Austin, Texas, United States - Remote",Mid-level,Full Time,90000,51000,USD 51000 - 90000,USD ,"AB testing, Data analysis, EDA, Engineering, Looker, Machine Learning, Metabase,","k matching, Career development, Fitness  gym, Health care, Team events,",Remote
Data Analyst,Fynd,Mumbai,Mid-level,Full Time,90000,51000,USD 51000 - 90000,USD ,"Big Data, Crypto, Machine Learning, MongoDB, SQL","Salary bonus, Team events",Onsite
(Vietnam) Lead Data Analyst - Growth,Sleek,"Hanoi, Vietnam - Remote",Mid-level,Full Time,90000,51000,USD 51000 - 90000,USD ,"Data pipelines, Data visualization, Excel, Pipelines, Python, R, SQL,","Career development, Flex hours, Health care, Home office stipend, Startup environment,",Remote
Senior Data Analyst,Motive,Remote - United States,Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"Python, R, Snowflake, SQL, Tableau",Startup environment,Remote
Data Analyst,KUDO,Buenos Aires,Senior-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"Data Analytics, Excel, Finance, Python, SQL, Streaming, Tableau","Career development, Conferences, Startup environment",Onsite
Data Analyst,SafetyCulture,Sydney,Executive-level,Full Time,85000,50000,USD 50000 - 85000,USD ,"ETL, Git, Looker, Python, SQL, Tableau",Career development,Onsite
"Analytics Engineering Intern, Data Science & Engineering",Netflix,"Los Gatos, California",Senior-level,Internship,#VALUE!,#VALUE!,Not Disclosed,Not ,"Big Data, Business Analytics, Computer Science, Data analysis, Data Analytics, Economics, Engineering,",Flex hours,Onsite
2023 Summer Data Analytics Intern (Undergraduate Degree),Flexport,Amsterdam,Entry-level,Internship,#VALUE!,#VALUE!,Not Disclosed,Not ,"Business Analytics, Computer Science, Data Analytics, Data visualization, Engineering, Excel, Looker,",Team events,Onsite
Senior Analytics Engineer,GlossGenius,Remote - USA,Senior-level,Full Time,#VALUE!,#VALUE!,Not Disclosed,Not ,"Business Intelligence, Data Warehousing, Engineering, ETL, FinTech, FiveTran, Looker,","Career development, Fertility benefits, Flex hours, Flex vacation, Health care,",Remote
Finance Data Analyst,Zego,"London, England, United Kingdom",Mid-level,Full Time,#VALUE!,#VALUE!,Not Disclosed,Not ,"Business Intelligence, Excel, Finance, Looker, SQL, Testing",Insurance,Onsite
